OrigOrder	Orthography	WorldBet	Frame1	Target1	Target2	Frame2	TP3_AudioFileAAE	TP3_AudioFileSAE	TargetStructure	Frequency	ComparisonPair	TP2_AudioFileAAE	TP2_AudioFileSAE	LexFreq
40	twedduhmin	twEd6mIn		t	w	Ed6mIn	twEd6mIn_A.wav	twEd6mIn.wav	CC	high	CC6	twed6mIn_01_A.wav	twed6mIn_01_mono.wav	
56	twefrap	twEfrap		t	w	Efrap	twefrap_A.wav	twefrap.wav	CC	nonword	twenty			low
32	twekket	twEkEt		t	w	EkEt	twEkEt_A.wav	twEkEt.wav	CC	high	CC2	twEkEt_02_A.wav	twEkEt_02_mono.wav	
55	twemag	twEmag		t	w	Emag	twemag_A.wav	twemag.wav	CC	nonword	twenty			low
6	viddag	vIdaeg		v	I	daeg	vIdaeg_A.wav	vIdaeg.wav	CV	high	CV3	vIdaeg_01_A.wav	vIdaeg_01_mono.wav	
8	viddigop	vIt6gap		v	I	t6gap	vIt6gap_A.wav	vIt6gap.wav	CV	high	CV4	vIt6gap_02_A.wav	vIt6gap_02_mono.wav	
5	voogeem	vugim		v	u	gim	vugim_A.wav	vugim.wav	CV	low	CV3	vugim_01_A.wav	vugim_03_mono.wav	
7	vookuhtem	vuk6tEm		v	u	k6tEm	vukatEm_A.wav	vukatEm.wav	CV	low	CV4	vuk6tEm_01_A.wav	vukatEm_02_mono.wav	
	dablor	dablor		d	a	blr	dablor_A.wav	dablor.wav			Familiarization	dablor_A.wav	dablor.wav	
	dqkram	daekram		d	ae	kram	dqkram_A.wav	dqkram.wav			Familiarization	dqkram_A.wav	dqkram.wav	
	sqnut	Saenut		S	ae	nut	sqnut_A.wav	sqnut.wav			Familiarization	sqnut_A.wav	sqnut.wav	
	kh3rpoyn	kh3rpoin		k	3r	poin	kh3rpoyn_A.wav	kh3rpoyn.wav			Familiarization	kh3rpoyn_A.wav	kh3rpoyn.wav	
	khizel	khIzEl		k	I	zEl	khizel_A.wav	khizel.wav			Familiarization	khizel_A.wav	khizel.wav	
	thaumag	thaUmag		t	aU	mag	thaumag_A.wav	thaumag.wav			Familiarization	thaumag_A.wav	thaumag.wav	
	waymog	wemag		w	e	mag	waymog_A.wav	waymog.wav	SKIP	SKIP	SKIP			
	wahkrad	wakraed		w	a	kraed	wahkrad_A.wav	wahkrad.wav	SKIP	SKIP	SKIP			
	wahprote	waprot		w	a	prot	wahprote_A.wav	wahprote.wav	SKIP	SKIP	SKIP			
	whimell	wImEl		w	I	mEl	whimell_A.wav	whimell.wav	SKIP	SKIP	SKIP			
